runNumber,eventNumber,trackIndex,pdg,px,py,pz,x,y,z,time,maxTurn
-8093,5,10,-2212,0.179032,-0.279722,0.0768218,0.0253504,-0.15457,0.0713549,655.984,0
-8093,6,7,211,0.511957,-0.0947963,-0.229367,-0.0395289,-0.154659,0.0287324,664.017,0
-8093,6,8,-211,-0.0324747,0.172059,-0.17588,-0.0395289,-0.154659,0.0287324,664.017,0
-8093,6,9,2212,-0.444654,-0.475573,0.391272,-0.0395289,-0.154659,0.0287324,664.017,0
-8093,6,10,-2212,-0.000760238,0.39831,0.0139644,-0.0395289,-0.154659,0.0287324,664.017,0
-8093,7,7,-211,-0.384788,0.103385,0.113664,0.0399812,-0.1545,0.542697,647.971,0
-8093,7,8,2212,0.141988,0.20554,-0.224055,0.0399812,-0.1545,0.542697,647.971,0
-8093,7,9,-2212,0.128336,-0.278918,0.584393,0.0399812,-0.1545,0.542697,647.971,0
-8093,8,7,211,-0.21712,-0.246797,-0.0723633,-0.0232976,-0.155008,-0.000745822,656.061,0
-8093,8,8,-211,0.451704,0.104032,-0.526377,-0.0232976,-0.155008,-0.000745822,656.061,0
-8093,8,9,2212,0.027968,0.185658,0.357974,-0.0232976,-0.155008,-0.000745822,656.061,0
-8093,8,10,-2212,-0.228486,-0.042892,0.239741,-0.0232976,-0.155008,-0.000745822,656.061,0
-8093,9,6,211,-0.398264,-0.0796493,-0.420515,-0.0371529,-0.155703,1.41273,648.031,0
-8093,9,7,-211,-0.249311,0.0520996,-0.0142692,-0.0371529,-0.155703,1.41273,648.031,0
-8093,9,9,-2212,0.777358,0.00112244,0.253071,-0.0371529,-0.155703,1.41273,648.031,0
-8093,10,8,-211,-0.155376,-0.335198,0.408456,0.0199422,-0.154538,0.421924,663.991,0
-8093,10,10,-2212,0.138141,0.489995,-0.00433922,0.0199422,-0.154538,0.421924,663.991,0
-8093,10,11,13,-0.237609,-0.207183,0.386743,-34.2286,-44.4019,63.1092,666.893,0
-8093,11,6,211,-0.0552147,0.214913,0.0020776,-0.0300941,-0.154722,1.39732,655.965,0
-8093,11,7,-211,0.37532,-0.614239,0.114974,-0.0300941,-0.154722,1.39732,655.965,0
-8093,11,8,2212,-0.352357,-0.015315,-0.304364,-0.0300941,-0.154722,1.39732,655.965,0
-8093,11,9,-2212,0.0663188,0.414641,0.189083,-0.0300941,-0.154722,1.39732,655.965,0
-8093,11,11,14,-0.0047718,-0.0276248,-0.0100822,-84.2816,52.8712,1.10349,674.02,0
-8093,11,16,-14,0.0131906,-0.134616,0.0401465,33.4092,-92.2145,16.7589,659.355,0
-8093,12,6,211,-0.069733,0.223173,0.159618,0.0508194,-0.155132,0.217521,655.976,0
-8093,12,7,-211,0.153607,-0.0869229,-0.475928,0.0508194,-0.155132,0.217521,655.976,0
-8093,12,8,2212,-0.481499,-0.0327363,-0.232447,0.0508194,-0.155132,0.217521,655.976,0
-8093,12,9,-2212,0.431691,-0.103514,0.549666,0.0508194,-0.155132,0.217521,655.976,0
-8093,13,6,211,-0.0864097,0.0109316,0.215159,0.103023,-0.154818,0.220967,664.039,0
-8093,13,7,-211,-0.256649,-0.295185,-0.186197,0.103023,-0.154818,0.220967,664.039,0
-8093,13,8,2212,-0.0822053,0.448005,0.534968,0.103023,-0.154818,0.220967,664.039,0
-8093,13,9,-2212,0.459332,-0.163751,-0.565136,0.103023,-0.154818,0.220967,664.039,0
-8093,14,6,211,0.224335,-0.262146,0.283977,0.0764337,-0.15484,0.36332,656.019,0
-8093,14,7,-211,-0.16749,0.299487,-0.128245,0.0764337,-0.15484,0.36332,656.019,0
-8093,14,8,2212,-0.142405,0.357912,0.375473,0.0764337,-0.15484,0.36332,656.019,0
-8093,14,9,-2212,0.119627,-0.395253,-0.533072,0.0764337,-0.15484,0.36332,656.019,0
-8093,15,6,211,-0.116591,0.123764,0.198917,0.0230574,-0.154555,-0.343702,655.945,0
-8093,15,7,-211,0.251388,0.209975,-0.283761,0.0230574,-0.154555,-0.343702,655.945,0
-8093,15,8,2212,-0.0304833,0.497143,0.213858,0.0230574,-0.154555,-0.343702,655.945,0
-8093,15,9,-2212,-0.070243,-0.830882,-0.129684,0.0230574,-0.154555,-0.343702,655.945,0
-8093,16,6,211,0.431873,0.132146,0.0741798,0.0398952,-0.154816,-1.29226,664.019,0
-8093,16,7,-211,-0.469282,-0.26014,-0.400025,0.0398952,-0.154816,-1.29226,664.019,0
-8093,16,9,-2212,0.047339,0.216642,0.189309,0.0398952,-0.154816,-1.29226,664.019,0
-8093,17,6,211,0.359476,0.137979,0.12775,0.0639083,-0.154507,0.240199,663.95,0
-8093,17,7,-211,0.0408201,-0.500291,-0.451084,0.0639083,-0.154507,0.240199,663.95,0
-8093,17,8,2212,-0.217684,0.168623,0.233197,0.0639083,-0.154507,0.240199,663.95,0
-8093,17,9,-2212,-0.148545,0.193688,0.0901192,0.0639083,-0.154507,0.240199,663.95,0
